# target qid ck12_retrieval_features_sum ck12_retrieval_features_max study_cards_retrieval_features_max study_cards_retrieval_features_sum 
1 qid:100332 1:2.4496153593063354 2:0.5366963744163513 3:1.582048773765564 4:5.962425351142883
1 qid:100333 1:3.4815763235092163 2:0.7890885472297668 3:1.2804272174835205 4:5.976238131523132
2 qid:100333 1:3.951643705368042 2:0.8381916880607605 3:2.2839460372924805 4:9.696027159690857
1 qid:100333 1:4.333514928817749 2:0.9437816143035889 3:1.8000866174697876 4:7.040781497955322
1 qid:100333 1:3.610528826713562 2:0.8322192430496216 3:1.3005290031433105 4:6.157845497131348
1 qid:100334 1:3.377908706665039 2:0.7789362072944641 3:1.6729803085327148 4:7.189948081970215
2 qid:100334 1:3.5990442633628845 2:0.7735922336578369 3:1.4422458410263062 4:6.81662917137146
1 qid:100334 1:2.7538477182388306 2:0.607182502746582 3:1.1729278564453125 4:4.909482777118683
1 qid:100334 1:2.4045667350292206 2:0.5011399388313293 3:1.365296721458435 4:5.315476894378662
1 qid:100335 1:2.1751924753189087 2:0.5525984764099121 3:1.1879072189331055 4:4.518845796585083
1 qid:100335 1:2.193984806537628 2:0.5573725700378418 3:1.1873635053634644 4:4.516777575016022
2 qid:100335 1:3.362224042415619 2:0.7619866728782654 3:1.5650728940963745 4:6.648091673851013
1 qid:100335 1:2.7304645776748657 2:0.6312310695648193 3:1.052607774734497 4:5.027829468250275
1 qid:100336 1:1.9274225533008575 2:0.4668843746185303 3:1.3145688772201538 4:5.027818858623505
1 qid:100336 1:2.3915304243564606 2:0.6357132196426392 3:1.3654552698135376 4:5.911112844944
2 qid:100336 1:2.6113298535346985 2:0.6004117131233215 3:1.9713932275772095 4:8.110169410705566
1 qid:100336 1:1.9466478526592255 2:0.459001362323761 3:1.6003116369247437 4:6.397576451301575
1 qid:100337 1:3.8118534684181213 2:1.020334243774414 3:0.9464513659477234 4:3.9075875282287598
1 qid:100337 1:3.7738670110702515 2:1.1513690948486328 3:0.7152675986289978 4:3.2051034569740295
1 qid:100337 1:4.170198857784271 2:1.1054717302322388 3:0.8478094935417175 4:3.681875169277191
2 qid:100337 1:3.678904116153717 2:1.056427001953125 3:0.7153600454330444 4:3.166331946849823
2 qid:100338 1:2.9010258316993713 2:0.621791422367096 3:1.0198273658752441 4:4.278635740280151
1 qid:100338 1:2.609714686870575 2:0.5655477046966553 3:1.1587854623794556 4:4.138458430767059
1 qid:100338 1:2.523992359638214 2:0.617557942867279 3:0.7338002920150757 4:3.4138495326042175
1 qid:100338 1:2.067563772201538 2:0.43354517221450806 3:0.7981280088424683 4:3.3842475414276123
1 qid:100339 1:2.326113998889923 2:0.5691636204719543 3:0.879237711429596 4:3.809714436531067
2 qid:100339 1:2.326113998889923 2:0.5691636204719543 3:0.879237711429596 4:3.809714436531067
1 qid:100339 1:2.326113998889923 2:0.5691636204719543 3:0.879237711429596 4:3.809714436531067
1 qid:100339 1:2.326113998889923 2:0.5691636204719543 3:0.8792377710342407 4:3.8097147941589355
1 qid:100340 1:1.1414779871702194 2:0.2543390393257141 3:5.6801066398620605 4:7.108461827039719
2 qid:100340 1:1.087074801325798 2:0.2506706118583679 3:7.009058952331543 4:8.638472765684128
1 qid:100340 1:1.1118187010288239 2:0.2603780925273895 3:6.2069783210754395 4:7.839714467525482
1 qid:100340 1:1.1007059663534164 2:0.25777560472488403 3:6.50831413269043 4:8.035017400979996
1 qid:100341 1:2.5176348984241486 2:0.5829992890357971 3:1.0215048789978027 4:4.7670228481292725
1 qid:100341 1:2.7407180070877075 2:0.6333332657814026 3:0.7945870161056519 4:3.7495563626289368
2 qid:100341 1:2.245566636323929 2:0.6323573589324951 3:1.2797154188156128 4:5.288214206695557
1 qid:100341 1:1.9709516763687134 2:0.4532620310783386 3:1.2744747400283813 4:4.264008700847626
1 qid:100342 1:1.8764425814151764 2:0.4788835644721985 3:0.8828723430633545 4:3.8869011402130127
1 qid:100342 1:1.9657795131206512 2:0.45417356491088867 3:1.1050621271133423 4:4.927548110485077
2 qid:100342 1:2.621911495923996 2:0.6354168057441711 3:0.7919858694076538 4:3.2876791954040527
1 qid:100342 1:1.465619683265686 2:0.36567220091819763 3:0.6718955039978027 4:2.763939678668976
1 qid:100343 1:3.4521301984786987 2:0.8147549033164978 3:5.31846284866333 4:8.591363430023193
1 qid:100343 1:3.559482455253601 2:0.7970569729804993 3:4.696907043457031 4:7.948609352111816
2 qid:100343 1:3.5635420083999634 2:0.7577404975891113 3:5.970900535583496 4:9.737036287784576
1 qid:100343 1:3.3830949664115906 2:0.8059037923812866 3:4.741792678833008 4:8.024569988250732
2 qid:100344 1:3.833037793636322 2:0.9182508587837219 3:2.4058942794799805 4:8.401234984397888
1 qid:100344 1:2.512646824121475 2:0.5396032333374023 3:1.106122612953186 4:5.2274147272109985
1 qid:100344 1:3.660075604915619 2:0.9747240543365479 3:2.0473577976226807 4:7.527300834655762
1 qid:100344 1:3.014632999897003 2:0.7011498808860779 3:1.1620970964431763 4:5.2043845653533936
1 qid:100345 1:1.7528677880764008 2:0.38087719678878784 3:0.37085527181625366 4:1.7287170588970184
2 qid:100345 1:2.0570529103279114 2:0.4728786051273346 3:0.5224286913871765 4:2.477580100297928
1 qid:100345 1:2.0542618930339813 2:0.4392252266407013 3:0.3922039270401001 4:1.784714251756668
1 qid:100345 1:1.9311798810958862 2:0.4660661518573761 3:0.393354207277298 4:1.6885950565338135
1 qid:100346 1:2.5213631689548492 2:0.569953203201294 3:0.9820923209190369 4:3.38023841381073
2 qid:100346 1:4.7711663246154785 2:0.9803466200828552 3:1.429884433746338 4:6.025893568992615
1 qid:100346 1:5.480376482009888 2:1.1404294967651367 3:1.7299048900604248 4:8.120397567749023
1 qid:100346 1:8.527715682983398 2:1.9258235692977905 3:2.309532880783081 4:11.3381986618042
1 qid:100347 1:3.5517019033432007 2:0.8436645865440369 3:2.0620830059051514 4:7.652549386024475
2 qid:100347 1:5.002565860748291 2:1.2242541313171387 3:2.990988254547119 4:10.278602004051208
1 qid:100347 1:4.912455379962921 2:1.0762251615524292 3:2.100287437438965 4:8.761311411857605
1 qid:100347 1:4.492876648902893 2:1.0217679738998413 3:2.1923916339874268 4:8.276049256324768
1 qid:100348 1:2.782514452934265 2:0.6507543921470642 3:1.3349523544311523 4:4.884326934814453
2 qid:100348 1:2.6957473754882812 2:0.658608615398407 3:1.3491442203521729 4:4.936251759529114
1 qid:100348 1:2.6066178679466248 2:0.5803740620613098 3:1.348699927330017 4:4.934626400470734
1 qid:100348 1:3.0444663763046265 2:0.6850453615188599 3:1.7698185443878174 4:5.356216907501221
1 qid:100349 1:1.8918864727020264 2:0.41748037934303284 3:0.5201594829559326 4:1.9974711239337921
1 qid:100349 1:1.9322370886802673 2:0.43640851974487305 3:0.42599281668663025 4:1.8216205537319183
1 qid:100349 1:1.8517949283123016 2:0.42692872881889343 3:0.48848357796669006 4:2.0635819733142853
2 qid:100349 1:1.8087578415870667 2:0.4151424169540405 3:0.3966103494167328 4:1.8040903210639954
1 qid:100350 1:2.1781471967697144 2:0.5056509971618652 3:1.3675158023834229 4:6.112654089927673
1 qid:100350 1:1.9729050993919373 2:0.4597214460372925 3:1.2615940570831299 4:5.707383155822754
1 qid:100350 1:2.391349583864212 2:0.5083348751068115 3:1.3420501947402954 4:5.998825192451477
2 qid:100350 1:2.8447288870811462 2:0.6606879234313965 3:1.4609911441802979 4:6.6511828899383545
1 qid:100351 1:3.3723958134651184 2:0.8981322050094604 3:1.4475679397583008 4:5.037201344966888
2 qid:100351 1:3.607148230075836 2:0.8567676544189453 3:1.4751853942871094 4:5.9113768339157104
1 qid:100351 1:3.0236266255378723 2:0.769212543964386 3:1.1902798414230347 4:4.742677986621857
1 qid:100351 1:3.082712233066559 2:0.7625204920768738 3:1.1938848495483398 4:4.757042288780212
2 qid:100352 1:1.8352862298488617 2:0.40913063287734985 3:0.6987072825431824 4:2.66645947098732
1 qid:100352 1:1.9220262467861176 2:0.4065035879611969 3:0.6803308725357056 4:2.8970549404621124
1 qid:100352 1:1.9019976258277893 2:0.40408024191856384 3:0.6881067156791687 4:2.6711421608924866
1 qid:100352 1:1.9114075303077698 2:0.40420836210250854 3:0.6107773780822754 4:2.513203054666519
1 qid:100353 1:3.994995892047882 2:1.0363510847091675 3:0.8469363451004028 4:3.935344159603119
2 qid:100353 1:4.516670227050781 2:1.2264578342437744 3:1.0161750316619873 4:4.3856101632118225
1 qid:100353 1:3.1437681317329407 2:0.8051348328590393 3:0.6962523460388184 4:3.1479334235191345
1 qid:100353 1:3.089104473590851 2:0.758994996547699 3:0.6262087821960449 4:2.815200090408325
2 qid:100354 1:7.881187200546265 2:1.6217228174209595 3:3.541450262069702 4:16.29607367515564
1 qid:100354 1:5.845394968986511 2:1.301600694656372 3:2.8808860778808594 4:13.049556970596313
1 qid:100354 1:5.224948942661285 2:1.2579443454742432 3:2.5193254947662354 4:11.088454961776733
1 qid:100354 1:4.458374083042145 2:0.9162312746047974 3:2.50559139251709 4:11.02800464630127
1 qid:100355 1:4.116652727127075 2:1.040833592414856 3:1.3344379663467407 4:5.720539212226868
1 qid:100355 1:4.225346267223358 2:1.0379449129104614 3:1.1756490468978882 4:5.299961268901825
1 qid:100355 1:3.367056369781494 2:0.9180208444595337 3:1.0363476276397705 4:4.648944079875946
2 qid:100355 1:4.077013552188873 2:1.0302274227142334 3:1.215445637702942 4:5.49878990650177
1 qid:100356 1:4.574229598045349 2:1.193403720855713 3:3.63023042678833 4:14.655782699584961
1 qid:100356 1:4.869162023067474 2:1.1103041172027588 3:3.3577775955200195 4:13.596531867980957
2 qid:100356 1:8.255051851272583 2:2.0335943698883057 3:5.594551086425781 4:21.875507354736328
1 qid:100356 1:5.236231505870819 2:1.5905288457870483 3:4.28922700881958 4:15.62525987625122
2 qid:100357 1:5.246656119823456 2:1.184146761894226 3:2.408114433288574 4:10.79617440700531
1 qid:100357 1:3.11863374710083 2:0.6901419758796692 3:1.6239488124847412 4:7.845629930496216
1 qid:100357 1:3.3374181985855103 2:0.7229681611061096 3:2.056682586669922 4:8.930015087127686
1 qid:100357 1:5.074289500713348 2:1.1434670686721802 3:2.4595446586608887 4:11.581825256347656
1 qid:100358 1:3.542946517467499 2:0.9010726809501648 3:1.4697253704071045 4:6.775873303413391
2 qid:100358 1:3.431184411048889 2:0.8726484179496765 3:1.592892050743103 4:7.140076160430908
1 qid:100358 1:4.101739168167114 2:0.9525359272956848 3:1.5658313035964966 4:7.40352737903595
1 qid:100358 1:3.588821053504944 2:0.9127399325370789 3:1.5263148546218872 4:7.036767959594727
1 qid:100359 1:1.5275376439094543 2:0.3291745185852051 3:1.3219558000564575 4:3.611199676990509
1 qid:100359 1:1.7225236296653748 2:0.4533599019050598 3:1.8183419704437256 4:5.464799225330353
2 qid:100359 1:1.6531571745872498 2:0.4348529577255249 3:5.4228129386901855 4:8.778931200504303
1 qid:100359 1:1.4750869274139404 2:0.42483100295066833 3:1.3648316860198975 4:4.1619943380355835
1 qid:100360 1:7.896695137023926 2:1.9947218894958496 3:2.8209903240203857 4:12.694455862045288
1 qid:100360 1:3.6855050921440125 2:0.78948575258255 3:1.9837405681610107 4:9.102377653121948
1 qid:100360 1:4.168257713317871 2:0.8928979635238647 3:2.1426610946655273 4:9.641975045204163
2 qid:100360 1:6.197705626487732 2:1.2665953636169434 3:4.6765289306640625 4:16.216148376464844
1 qid:100361 1:4.747308194637299 2:1.0494457483291626 3:3.2722861766815186 4:15.325039148330688
2 qid:100361 1:4.808158457279205 2:1.1404248476028442 3:4.804879188537598 4:22.41575837135315
1 qid:100361 1:4.883432388305664 2:1.0573678016662598 3:3.2310495376586914 4:15.327712059020996
1 qid:100361 1:5.389978885650635 2:1.223770022392273 3:3.3729422092437744 4:15.343727827072144
2 qid:100362 1:2.1715798377990723 2:0.6404808759689331 3:3.403305768966675 4:8.82463824748993
1 qid:100362 1:2.413475066423416 2:0.5919135212898254 3:2.241253614425659 4:7.1482768058776855
1 qid:100362 1:2.0215281546115875 2:0.6157510280609131 3:2.3212692737579346 4:7.40347945690155
1 qid:100362 1:2.352796822786331 2:0.6647781133651733 3:2.572077751159668 4:8.304944157600403
1 qid:100363 1:1.8659150004386902 2:0.431763231754303 3:0.9954028129577637 4:3.6932214498519897
1 qid:100363 1:2.5958154499530792 2:0.6188279986381531 3:1.0605522394180298 4:5.302761197090149
1 qid:100363 1:1.8319234549999237 2:0.42797529697418213 3:0.8538360595703125 4:3.778650224208832
2 qid:100363 1:1.1744384169578552 2:0.24223366379737854 3:0.7504824995994568 4:3.069344937801361
1 qid:100364 1:4.588504314422607 2:1.0494614839553833 3:2.341031074523926 4:9.583890557289124
2 qid:100364 1:6.961351275444031 2:1.642559289932251 3:3.1389617919921875 4:14.63144564628601
1 qid:100364 1:2.3015045821666718 2:0.5836667418479919 3:1.376556158065796 4:5.352692127227783
1 qid:100364 1:2.073580712080002 2:0.5683108568191528 3:0.9936239123344421 4:4.486419200897217
1 qid:100365 1:1.7696340084075928 2:0.4842081367969513 3:0.9824420809745789 4:3.893902897834778
1 qid:100365 1:3.9288137555122375 2:1.0474042892456055 3:2.0350964069366455 4:7.883268594741821
2 qid:100365 1:2.2215770483016968 2:0.6206991672515869 3:1.104501485824585 4:4.492732644081116
1 qid:100365 1:3.166011929512024 2:0.8636596202850342 3:1.516382098197937 4:5.882223844528198
1 qid:100366 1:1.8947982788085938 2:0.42213675379753113 3:0.6996235847473145 4:3.2933602333068848
1 qid:100366 1:1.8799220025539398 2:0.44884300231933594 3:0.6801393032073975 4:3.1427958607673645
1 qid:100366 1:1.9452319145202637 2:0.4364378750324249 3:0.6876158118247986 4:3.2625014185905457
2 qid:100366 1:1.7992282807826996 2:0.4475077688694 3:0.70455002784729 4:3.094978928565979
1 qid:100367 1:3.8292229771614075 2:0.800262451171875 3:1.6873220205307007 4:7.966047048568726
2 qid:100367 1:4.050725340843201 2:0.9329021573066711 3:2.0225775241851807 4:8.821427345275879
1 qid:100367 1:3.616198778152466 2:0.7696212530136108 3:1.8245949745178223 4:8.380063652992249
1 qid:100367 1:3.4179394841194153 2:0.7171254754066467 3:1.9286575317382812 4:8.858006000518799
2 qid:100368 1:3.025061011314392 2:0.6629390716552734 3:1.7678258419036865 4:5.7137808203697205
1 qid:100368 1:2.9083706736564636 2:0.6715986132621765 3:1.615670084953308 4:5.37207704782486
1 qid:100368 1:2.436846226453781 2:0.5489257574081421 3:1.5351781845092773 4:4.861191034317017
1 qid:100368 1:2.472035437822342 2:0.5568525195121765 3:1.5140687227249146 4:4.794347167015076
1 qid:100369 1:3.453130304813385 2:0.8428984880447388 3:1.191460132598877 4:5.325952053070068
1 qid:100369 1:3.9544875621795654 2:0.894062340259552 3:1.737480640411377 4:6.477169096469879
2 qid:100369 1:3.2746157944202423 2:0.8936807513237 3:1.3551113605499268 4:5.222649276256561
1 qid:100369 1:4.056107938289642 2:1.0487529039382935 3:1.4883610010147095 4:6.876474857330322
1 qid:100370 1:3.01173198223114 2:0.7844734191894531 3:3.4440360069274902 4:16.507755756378174
2 qid:100370 1:4.301464259624481 2:1.1049000024795532 3:4.451932430267334 4:21.391339778900146
1 qid:100370 1:3.3545981645584106 2:0.815937876701355 3:3.5830271244049072 4:17.173959970474243
1 qid:100370 1:2.8750680685043335 2:0.7785589694976807 3:3.444234848022461 4:16.508708953857422
1 qid:100371 1:1.0004974007606506 2:0.27977046370506287 3:1.3521220684051514 4:2.871356427669525
2 qid:100371 1:1.6130997836589813 2:0.3569691777229309 3:6.3769731521606445 4:8.1472869515419
1 qid:100371 1:1.6747605949640274 2:0.4778629243373871 3:1.2557052373886108 4:2.530463010072708
1 qid:100371 1:0.8612917959690094 2:0.1876145452260971 3:1.3830419778823853 4:2.9903672635555267
1 qid:100372 1:9.375251293182373 2:2.123405933380127 3:3.931668281555176 4:17.671110153198242
2 qid:100372 1:16.338828563690186 2:3.846651315689087 3:7.367556571960449 4:33.681828022003174
1 qid:100372 1:15.47591233253479 2:3.7173209190368652 3:6.44231653213501 4:29.833497524261475
1 qid:100372 1:8.839830160140991 2:2.0439987182617188 3:4.32629919052124 4:18.826406717300415
1 qid:100373 1:3.202478349208832 2:0.7243924140930176 3:1.0426579713821411 4:4.804866671562195
1 qid:100373 1:3.1803667545318604 2:0.8255945444107056 3:1.0829027891159058 4:4.853102207183838
2 qid:100373 1:4.484841763973236 2:1.074464201927185 3:1.3543624877929688 4:6.265234351158142
1 qid:100373 1:4.973078489303589 2:1.1005606651306152 3:1.7416564226150513 4:7.822692275047302
1 qid:100374 1:4.6337974071502686 2:1.0640476942062378 3:2.0234885215759277 4:8.833565711975098
2 qid:100374 1:4.617390275001526 2:1.0315104722976685 3:1.9138935804367065 4:8.355127930641174
1 qid:100374 1:4.696134865283966 2:1.0256459712982178 3:1.9486397504806519 4:8.506812334060669
1 qid:100374 1:4.598695635795593 2:1.0559873580932617 3:2.0256869792938232 4:8.843163132667542
1 qid:100375 1:4.05190896987915 2:0.9299986362457275 3:1.4207502603530884 4:6.842078924179077
1 qid:100375 1:2.86139178276062 2:0.622832715511322 3:1.597105860710144 4:6.850795269012451
2 qid:100375 1:3.9098868370056152 2:0.8334677219390869 3:1.5628762245178223 4:5.958827197551727
1 qid:100375 1:4.111778140068054 2:0.8850101232528687 3:1.582696557044983 4:6.144847869873047
1 qid:100376 1:5.034100115299225 2:1.2959121465682983 3:2.3764262199401855 4:11.035180687904358
2 qid:100376 1:5.34373015165329 2:1.4682537317276 3:2.3860280513763428 4:11.171254396438599
1 qid:100376 1:4.842342972755432 2:1.1344351768493652 3:2.3669395446777344 4:10.991128325462341
1 qid:100376 1:5.034100115299225 2:1.2959121465682983 3:2.3764262199401855 4:11.035180687904358
1 qid:100377 1:2.941232681274414 2:0.642227828502655 3:1.002048373222351 4:4.613034129142761
1 qid:100377 1:2.6438883543014526 2:0.5369225740432739 3:1.1916941404342651 4:4.962285876274109
2 qid:100377 1:3.1048536896705627 2:0.6350365281105042 3:1.481804370880127 4:5.8026227951049805
1 qid:100377 1:4.107984960079193 2:0.8520923256874084 3:1.4916207790374756 4:6.423470139503479
1 qid:100378 1:2.440878212451935 2:0.5693021416664124 3:0.894679069519043 4:3.7692472338676453
1 qid:100378 1:2.6060332357883453 2:0.5763454437255859 3:0.8386971354484558 4:3.73639315366745
1 qid:100378 1:2.2446050345897675 2:0.4813478887081146 3:0.7734745144844055 4:3.2878746390342712
2 qid:100378 1:2.445631980895996 2:0.5792840719223022 3:1.1384708881378174 4:3.8023268580436707
1 qid:100379 1:1.3911406993865967 2:0.5095998048782349 3:1.2607460021972656 4:5.0952683091163635
2 qid:100379 1:1.7870150208473206 2:0.5104644894599915 3:1.6108936071395874 4:6.239394962787628
1 qid:100379 1:1.8549460917711258 2:0.6792906522750854 3:1.625487208366394 4:6.322551250457764
1 qid:100379 1:1.6220060884952545 2:0.5693525075912476 3:1.151807188987732 4:4.6860798597335815
1 qid:100380 1:1.4574857950210571 2:0.353366494178772 3:0.4740632176399231 4:1.982258915901184
1 qid:100380 1:1.3816044330596924 2:0.2922475337982178 3:0.5050868391990662 4:2.359472781419754
1 qid:100380 1:1.5516549944877625 2:0.34341511130332947 3:0.7170083522796631 4:2.9606720209121704
2 qid:100380 1:1.4953888952732086 2:0.3170704245567322 3:0.5089656114578247 4:2.203729063272476
1 qid:100381 1:1.7063685953617096 2:0.4066478908061981 3:0.5500872135162354 4:1.9531081318855286
1 qid:100381 1:2.0231426656246185 2:0.4585411250591278 3:0.9054855108261108 4:3.2102886736392975
1 qid:100381 1:1.8614934980869293 2:0.4077935516834259 3:0.755811870098114 4:2.5541500747203827
2 qid:100381 1:2.1010592877864838 2:0.47050991654396057 3:0.8062768578529358 4:2.7638944685459137
1 qid:100382 1:1.279695138335228 2:0.30071401596069336 3:0.40377894043922424 4:1.4002875089645386
1 qid:100382 1:0.9724983125925064 2:0.24589373171329498 3:0.3978877067565918 4:1.4960771203041077
1 qid:100382 1:0.8296912759542465 2:0.19471226632595062 3:0.25333619117736816 4:0.8942048847675323
2 qid:100382 1:1.1630883514881134 2:0.278433620929718 3:0.24674685299396515 4:1.1734115481376648
1 qid:100383 1:6.428018927574158 2:1.420319676399231 3:1.623085618019104 4:7.809781432151794
2 qid:100383 1:6.428018927574158 2:1.420319676399231 3:1.623085618019104 4:7.809781432151794
1 qid:100383 1:2.513365775346756 2:0.588058590888977 3:0.8704087138175964 4:3.681892514228821
1 qid:100383 1:2.6550067961215973 2:0.5714954137802124 3:0.933778703212738 4:4.069314002990723
2 qid:100384 1:2.445495069026947 2:0.639845609664917 3:0.8544284701347351 4:3.3072937726974487
1 qid:100384 1:3.4310927391052246 2:0.8627485632896423 3:0.7840083241462708 4:3.441499888896942
1 qid:100384 1:2.5730807185173035 2:0.6036445498466492 3:1.0073158740997314 4:3.3211029171943665
1 qid:100384 1:2.9392319321632385 2:0.6468068957328796 3:1.007231593132019 4:3.463629364967346
1 qid:100385 1:6.261062741279602 2:1.4923405647277832 3:2.2429580688476562 4:8.08512794971466
1 qid:100385 1:4.455606162548065 2:1.0446704626083374 3:2.0421676635742188 4:7.902033090591431
1 qid:100385 1:5.298968434333801 2:1.2149999141693115 3:2.286935806274414 4:8.034202575683594
2 qid:100385 1:4.516267240047455 2:1.0466052293777466 3:2.0683741569519043 4:9.492477416992188
1 qid:100386 1:2.2942761182785034 2:0.47344738245010376 3:4.502857685089111 4:8.404969930648804
2 qid:100386 1:2.351317197084427 2:0.5517853498458862 3:5.598507404327393 4:8.841255486011505
1 qid:100386 1:2.1062589585781097 2:0.464061975479126 3:3.969968557357788 4:7.621964156627655
1 qid:100386 1:3.0611237287521362 2:0.6498521566390991 3:3.9390652179718018 4:8.369250774383545
1 qid:100387 1:3.6338956356048584 2:0.7525150179862976 3:1.3656164407730103 4:6.5299683809280396
1 qid:100387 1:4.8396958112716675 2:1.1527208089828491 3:1.9638547897338867 4:7.086242318153381
1 qid:100387 1:4.071022629737854 2:0.8650863170623779 3:1.9277727603912354 4:7.039729356765747
2 qid:100387 1:2.9906551837921143 2:0.7064248919487 3:1.2113850116729736 4:5.74465811252594
2 qid:100388 1:8.535374641418457 2:1.8078458309173584 3:3.2337989807128906 4:14.92783260345459
1 qid:100388 1:6.7244346141815186 2:1.4671062231063843 3:2.4482500553131104 4:10.511486649513245
1 qid:100388 1:5.165065586566925 2:1.1840757131576538 3:1.9372451305389404 4:8.226417183876038
1 qid:100388 1:4.689364373683929 2:1.0737817287445068 3:1.7788687944412231 4:8.402834415435791
1 qid:100389 1:2.8521538078784943 2:0.653785228729248 3:0.8807037472724915 4:3.6011427640914917
2 qid:100389 1:2.8139269053936005 2:0.6548914313316345 3:0.8912611603736877 4:4.368684351444244
1 qid:100389 1:2.473804920911789 2:0.5039840340614319 3:0.8135896325111389 4:3.059343099594116
1 qid:100389 1:2.2936111986637115 2:0.5329723954200745 3:0.8836732506752014 4:3.3037883639335632
1 qid:100390 1:1.6394439339637756 2:0.35491833090782166 3:0.6059108972549438 4:2.523212432861328
1 qid:100390 1:1.9834948778152466 2:0.4563097655773163 3:0.525830864906311 4:2.324997663497925
1 qid:100390 1:1.7663502097129822 2:0.38681235909461975 3:0.5491495132446289 4:2.618267685174942
2 qid:100390 1:1.6085299849510193 2:0.3677299916744232 3:0.6465899348258972 4:2.846939265727997
1 qid:100391 1:4.31183785200119 2:0.9530995488166809 3:1.8662445545196533 4:8.61781919002533
1 qid:100391 1:4.365689933300018 2:0.9650031328201294 3:1.9502102136611938 4:9.005549788475037
1 qid:100391 1:4.486242592334747 2:1.0751471519470215 3:1.9095028638839722 4:8.820289850234985
2 qid:100391 1:4.8275697231292725 2:1.2399437427520752 3:2.4154961109161377 4:9.592974543571472
1 qid:100392 1:4.85824191570282 2:1.1456466913223267 3:3.0595803260803223 4:10.231811761856079
1 qid:100392 1:4.9753246903419495 2:1.116023302078247 3:2.480006456375122 4:8.507717728614807
1 qid:100392 1:3.395560562610626 2:0.8958719372749329 3:2.5419795513153076 4:7.518250226974487
2 qid:100392 1:3.9529796838760376 2:0.9109139442443848 3:2.488072395324707 4:7.534751772880554
2 qid:100393 1:2.561406582593918 2:0.624469518661499 3:0.7902047634124756 4:3.6081565618515015
1 qid:100393 1:1.9958775639533997 2:0.4150027632713318 3:0.7348199486732483 4:3.248100519180298
1 qid:100393 1:1.8723125755786896 2:0.4488021433353424 3:0.8420184850692749 4:3.0368083715438843
1 qid:100393 1:2.033618986606598 2:0.45173102617263794 3:0.5400193333625793 4:2.582123786211014
2 qid:100394 1:1.4951316863298416 2:0.33855265378952026 3:0.4809398353099823 4:2.0374726355075836
1 qid:100394 1:1.4637968242168427 2:0.3314572870731354 3:0.46967995166778564 4:1.9897707402706146
1 qid:100394 1:1.3794101625680923 2:0.2985667288303375 3:0.4687652885913849 4:1.9858959913253784
1 qid:100394 1:1.3749864250421524 2:0.29760923981666565 3:0.46888694167137146 4:1.9864113926887512
1 qid:100395 1:7.7433003187179565 2:1.698607325553894 3:1.7141791582107544 4:8.20141875743866
2 qid:100395 1:7.224276781082153 2:1.5960372686386108 3:1.8214586973190308 4:7.969788074493408
1 qid:100395 1:5.931226372718811 2:1.3043603897094727 3:1.5521957874298096 4:7.3284991979599
1 qid:100395 1:7.291722297668457 2:1.7542229890823364 3:1.8180409669876099 4:7.630996465682983
1 qid:100396 1:2.591035783290863 2:0.6240091323852539 3:1.0879417657852173 4:4.662047207355499
1 qid:100396 1:2.9387688040733337 2:0.7077550292015076 3:1.1796276569366455 4:5.054939329624176
1 qid:100396 1:2.9548664689064026 2:0.7116318345069885 3:1.190482497215271 4:5.101454496383667
2 qid:100396 1:2.9833191633224487 2:0.7184842824935913 3:1.2631003856658936 4:5.4126365184783936
1 qid:100397 1:2.1734345257282257 2:0.6611669659614563 3:0.6974735856056213 4:3.0346198678016663
1 qid:100397 1:1.9471447467803955 2:0.6265830993652344 3:0.47867026925086975 4:2.299923747777939
2 qid:100397 1:3.36190003156662 2:0.6877592206001282 3:1.0401153564453125 4:4.57669460773468
1 qid:100397 1:3.3015973567962646 2:0.7127299904823303 3:0.9948957562446594 4:4.004510521888733
1 qid:100398 1:1.9818209111690521 2:0.4383545517921448 3:0.3987816572189331 4:1.7603938281536102
2 qid:100398 1:1.8670200407505035 2:0.4033036530017853 3:0.3897155225276947 4:1.7203719019889832
1 qid:100398 1:2.041055053472519 2:0.44833993911743164 3:0.3724006712436676 4:1.6898519098758698
1 qid:100398 1:2.1897625029087067 2:0.4732810854911804 3:0.46010082960128784 4:1.9245884120464325
1 qid:100399 1:2.4341971278190613 2:0.5025168061256409 3:1.5026642084121704 4:6.178244233131409
1 qid:100399 1:3.0965037643909454 2:0.7782944440841675 3:1.4054335355758667 4:6.152438402175903
2 qid:100399 1:3.592436671257019 2:0.7583666443824768 3:1.7368338108062744 4:6.954970121383667
1 qid:100399 1:2.4068967401981354 2:0.4968809187412262 3:1.504978060722351 4:6.187757790088654
1 qid:100400 1:7.372506618499756 2:2.028404712677002 3:5.2161760330200195 4:16.782029628753662
1 qid:100400 1:7.372506618499756 2:2.028404712677002 3:5.2161760330200195 4:16.782029628753662
1 qid:100400 1:7.372506618499756 2:2.028404712677002 3:5.2161760330200195 4:16.782029628753662
2 qid:100400 1:6.537015736103058 2:1.7985353469848633 3:5.891992092132568 4:18.157994866371155
1 qid:100401 1:1.980835735797882 2:0.47062334418296814 3:0.9270822405815125 4:3.606670558452606
1 qid:100401 1:2.0076555013656616 2:0.47699540853500366 3:0.9708784222602844 4:3.777052938938141
1 qid:100401 1:1.8147240579128265 2:0.4153209626674652 3:0.8267853260040283 4:3.2164812088012695
